Name,CLs,CDs,CMs,Xtr_Top,Xtr_Bot,CLmax,Score,Failure_Reason
hq1510.dat,"[0.1, 0.3]","[array([0.00479475, 0.00481055])]","[array([-0.04531566, -0.04519233])]","[array([0.74569282, 0.67166905])]","[array([0.63049858, 0.72979567])]",1.191021613584323,-9.504663217555825,None
sd6060.dat,"[0.1, 0.3]","[array([0.00462887, 0.00469488])]","[array([-0.02946566, -0.02774902])]","[array([0.68584518, 0.61255174])]","[array([0.73522316, 0.9024266 ])]",1.2059362322043838,-9.515781227795085,None
mh42.dat,"[0.1, 0.3]","[array([0.00493767, 0.00467855])]","[array([-0.02393881, -0.02463167])]","[array([0.64135689, 0.5610761 ])]","[array([0.65009732, 0.97681385])]",1.1295229835647176,-9.519886580117763,None
goe795sm.dat,"[0.1, 0.3]","[array([0.00592315, 0.00421378])]","[array([-0.06170612, -0.05905892])]","[array([0.82166034, 0.73855673])]","[array([0.18195007, 0.9650541 ])]",1.1628947022930476,-9.522864997330155,None
nl722362.dat,"[0.1, 0.3]","[array([0.00417284, 0.00550337])]","[array([-0.01277889, -0.02154502])]","[array([0.82172203, 0.54367624])]","[array([0.95124248, 0.99416296])]",1.1750935617177247,-9.60047756183854,None
s9000.dat,"[0.1, 0.3]","[array([0.00588583, 0.00466667])]","[array([-0.07517573, -0.07258875])]","[array([0.82223793, 0.68736493])]","[array([0.1829986 , 0.70150118])]",1.3114994980135464,-9.606570247787147,None
ah21-7.dat,"[0.1, 0.3]","[array([0.00621752, 0.00433103])]","[array([-0.09511853, -0.09543865])]","[array([0.9412036 , 0.91970585])]","[array([0.18965028, 0.68075305])]",1.2791598849475534,-9.627697365421849,None
nlr1t.dat,"[0.1, 0.3]","[array([0.00426714, 0.00551   ])]","[array([-0.0110334 , -0.02217514])]","[array([0.82118551, 0.55545643])]","[array([0.96349234, 0.99999842])]",1.2072059507550361,-9.649759333791973,None
mh62.dat,"[0.1, 0.3]","[array([0.00491959, 0.00485096])]","[array([-0.00415112, -0.01007058])]","[array([0.60333332, 0.51113894])]","[array([0.66439644, 0.99962718])]",1.178431768138689,-9.65224549541301,None
goe622.dat,"[0.1, 0.3]","[array([0.00592978, 0.00437053])]","[array([-0.05814463, -0.05489273])]","[array([0.79401536, 0.67167876])]","[array([0.19851772, 0.96881661])]",1.1746617985968564,-9.670677097219286,None
k1.dat,"[0.1, 0.3]","[array([0.00512869, 0.0050083 ])]","[array([-0.0837339 , -0.08525795])]","[array([0.8437464 , 0.79433592])]","[array([0.52161832, 0.59899124])]",1.4007530468843994,-9.670802198279935,None
s8066.dat,"[0.1, 0.3]","[array([0.00433375, 0.004464  ])]","[array([-0.02863318, -0.02820264])]","[array([0.79272912, 0.69239851])]","[array([0.75942704, 0.82497582])]",0.9624784962549857,-9.671550663650873,None
c5b.dat,"[0.1, 0.3]","[array([0.00467699, 0.0045049 ])]","[array([-0.06248226, -0.0608131 ])]","[array([0.91371943, 0.82680874])]","[array([0.66998665, 0.77890792])]",1.2226715554645209,-9.695072208005087,None
goe795.dat,"[0.1, 0.3]","[array([0.00596765, 0.00426177])]","[array([-0.06106585, -0.05798552])]","[array([0.80585371, 0.728813  ])]","[array([0.18822684, 0.95628209])]",1.1543373241645134,-9.714463574065935,None
s5010.dat,"[0.1, 0.3]","[array([0.00478464, 0.0051127 ])]","[array([ 0.00840715, -0.00074897])]","[array([0.52147407, 0.47275302])]","[array([0.90013621, 0.99999829])]",1.2656959232510887,-9.736089885482045,None
hq109.dat,"[0.1, 0.3]","[array([0.00451374, 0.00469756])]","[array([-0.03031994, -0.02971381])]","[array([0.74111213, 0.63600033])]","[array([0.69412016, 0.77135863])]",0.9476166772894864,-9.744641091339018,None
fx69h083.dat,"[0.1, 0.3]","[array([0.00494176, 0.00460816])]","[array([-0.02238319, -0.02578345])]","[array([0.71893878, 0.64551544])]","[array([0.59756536, 0.99999857])]",1.0265255779074443,-9.760560332785854,None
rc1064c.dat,"[0.1, 0.3]","[array([0.00423887, 0.00482274])]","[array([-0.01268816, -0.01048787])]","[array([0.77454039, 0.61512944])]","[array([0.88924769, 0.95931856])]",1.1004168525021305,-9.79213597818475,None
goe563.dat,"[0.1, 0.3]","[array([0.00615835, 0.00431209])]","[array([-0.06188264, -0.05543528])]","[array([0.82614194, 0.73422739])]","[array([0.15390308, 0.84451154])]",1.2694751747411022,-9.805039866758761,None
goe599.dat,"[0.1, 0.3]","[array([0.00494295, 0.00448456])]","[array([-0.05539865, -0.05370486])]","[array([0.83039227, 0.7332469 ])]","[array([0.57224841, 0.81548224])]",1.1017278895677687,-9.82558073384707,None
e221.dat,"[0.1, 0.3]","[array([0.00466739, 0.00518951])]","[array([-0.00227427, -0.01299668])]","[array([0.56446892, 0.504102  ])]","[array([0.94474053, 0.99999841])]",1.218880769117599,-9.831583194925525,None
rc10n1.dat,"[0.1, 0.3]","[array([0.00460377, 0.00487225])]","[array([0.00937318, 0.0044044 ])]","[array([0.64996976, 0.58903734])]","[array([0.93192239, 0.99736547])]",1.144674244313848,-9.845749060233038,None
mh46.dat,"[0.1, 0.3]","[array([0.0047278, 0.0048953])]","[array([-0.00544208, -0.01624654])]","[array([0.61521545, 0.53169943])]","[array([0.75543357, 0.99999827])]",1.0914329451057414,-9.860762991110605,None
e224.dat,"[0.1, 0.3]","[array([0.00513588, 0.00487647])]","[array([-0.05825246, -0.05708211])]","[array([0.75542001, 0.65345106])]","[array([0.49660334, 0.69901235])]",1.2540144208209898,-9.869160825677152,None
sd7080.dat,"[0.1, 0.3]","[array([0.00599052, 0.00468451])]","[array([-0.0654118 , -0.06273593])]","[array([0.8055943 , 0.66804402])]","[array([0.17203451, 0.70358551])]",1.3115438513468565,-9.921323142722144,None
naca63209.dat,"[0.1, 0.3]","[array([0.00455911, 0.00465648])]","[array([-0.04159871, -0.04252521])]","[array([0.73919335, 0.66291531])]","[array([0.67076305, 0.75007125])]",0.8767977449177592,-9.946484499228227,None
s8065.dat,"[0.1, 0.3]","[array([0.00448186, 0.00446219])]","[array([-0.03052922, -0.03075273])]","[array([0.79960051, 0.73764616])]","[array([0.75808029, 0.82072401])]",1.0352365547563156,-9.987155678361486,None
mh45.dat,"[0.1, 0.3]","[array([0.00504628, 0.00496856])]","[array([ 0.00123526, -0.00471283])]","[array([0.57110827, 0.48712631])]","[array([0.66136174, 0.99816178])]",1.236002363176732,-10.002028497151953,None
n9.dat,"[0.1, 0.3]","[array([0.00645414, 0.00466715])]","[array([-0.0625126 , -0.06059235])]","[array([0.77856795, 0.68612292])]","[array([0.09930281, 0.81745252])]",1.3807712801361396,-10.008152824182577,None
rg8.dat,"[0.1, 0.3]","[array([0.00540879, 0.00495427])]","[array([-0.09817168, -0.09549991])]","[array([0.90502306, 0.75216281])]","[array([0.33533495, 0.58500909])]",1.315988533380618,-10.008926468863505,None
